"GEO";"GEO_OBJECT";"FACILITY_DOM";"FACILITY_SDOM";"FACILITY_TYPE";"BPE_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"11132";"COM";"F";"F3";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D5";"D506";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"A";"A1";"A129";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F116";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"C";"C6";"_T";"FACILITIES";"0";"NR";"A";2025;14
"11132";"COM";"C";"C1";"C108";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C5";"C502";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F3";"_T";"FACILITIES";"0";"NR";"A";2025;13
"11262";"COM";"D";"D5";"D505";"FACILITIES";"0";"NR";"A";2025;47
"11262";"COM";"F";"F3";"F315";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A4";"A404";"FACILITIES";"0";"NR";"A";2025;87
"11262";"COM";"D";"D2";"D249";"FACILITIES";"0";"NR";"A";2025;15
"11262";"COM";"D";"D5";"D502";"FACILITIES";"0";"NR";"A";2025;7
"11132";"COM";"F";"F1";"F113";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"E";"E1";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"_T";"FACILITIES";"0";"NR";"A";2025;88
"11262";"COM";"B";"B1";"B104";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"D";"D7";"D705";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"G";"G1";"G101";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"E";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;51
"11262";"COM";"B";"B2";"B206";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"B";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;570
"11262";"COM";"C";"C7";"C702";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F130";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"A";"A4";"A402";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"D";"D2";"_T";"FACILITIES";"0";"NR";"A";2025;18
"11262";"COM";"B";"B3";"B306";"FACILITIES";"0";"NR";"A";2025;28
"11262";"COM";"B";"B2";"B208";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"A";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;1439
"11262";"COM";"C";"C3";"_T";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"G";"G1";"G105";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"F";"F2";"F204";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"G";"G1";"G104";"FACILITIES";"0";"NR";"A";2025;8
"11262";"COM";"F";"F1";"F101";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"C";"C3";"C302";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A4";"A403";"FACILITIES";"0";"NR";"A";2025;58
"11132";"COM";"D";"D2";"D279";"FACILITIES";"0";"NR";"A";2025;3
"11132";"COM";"A";"A4";"_T";"FACILITIES";"0";"NR";"A";2025;24
"11262";"COM";"A";"A1";"A131";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F3";"F307";"FACILITIES";"0";"NR";"A";2025;2
"11132";"COM";"D";"D3";"D307";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C4";"C409";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"B";"B3";"B308";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"A";"A4";"A401";"FACILITIES";"0";"NR";"A";2025;142
"11262";"COM";"F";"F1";"F110";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D3";"D303";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"D";"D2";"D279";"FACILITIES";"0";"NR";"A";2025;135
"11262";"COM";"B";"B3";"B310";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"A";"A5";"A505";"FACILITIES";"0";"NR";"A";2025;150
"11262";"COM";"B";"B3";"_T";"FACILITIES";"0";"NR";"A";2025;377
"11132";"COM";"E";"E1";"E101";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"G";"G1";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F108";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F2";"F201";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"B";"B2";"B210";"FACILITIES";"0";"NR";"A";2025;25
"11262";"COM";"B";"B2";"B202";"FACILITIES";"0";"NR";"A";2025;36
"11262";"COM";"C";"C3";"C301";"FACILITIES";"0";"NR";"A";2025;5
"11132";"COM";"F";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;11
"11132";"COM";"F";"F3";"F307";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C1";"C108";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"D";"D2";"D248";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"B";"B2";"_T";"FACILITIES";"0";"NR";"A";2025;162
"11262";"COM";"D";"D2";"D259";"FACILITIES";"0";"NR";"A";2025;3
"11132";"COM";"A";"A4";"A403";"FACILITIES";"0";"NR";"A";2025;5
"11132";"COM";"D";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;22
"11132";"COM";"A";"A5";"A505";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"A";"A3";"_T";"FACILITIES";"0";"NR";"A";2025;134
"11262";"COM";"A";"A5";"A501";"FACILITIES";"0";"NR";"A";2025;122
"11262";"COM";"A";"A4";"A406";"FACILITIES";"0";"NR";"A";2025;18
"11262";"COM";"F";"F3";"F312";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"D";"D2";"D282";"FACILITIES";"0";"NR";"A";2025;25
"11132";"COM";"C";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"A";"A5";"A504";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"D";"D2";"D283";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"G";"G1";"_T";"FACILITIES";"0";"NR";"A";2025;53
"11262";"COM";"D";"D2";"D262";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D2";"D281";"FACILITIES";"0";"NR";"A";2025;144
"11262";"COM";"A";"A3";"A301";"FACILITIES";"0";"NR";"A";2025;95
"11262";"COM";"F";"F1";"F118";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"C";"C1";"C109";"FACILITIES";"0";"NR";"A";2025;14
"11262";"COM";"F";"F3";"F303";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"F";"F2";"_T";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"A";"A3";"A304";"FACILITIES";"0";"NR";"A";2025;16
"11262";"COM";"C";"C5";"_T";"FACILITIES";"0";"NR";"A";2025;3
"11132";"COM";"G";"G1";"G103";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D7";"D701";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"B";"B2";"B205";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D2";"D278";"FACILITIES";"0";"NR";"A";2025;8
"11262";"COM";"A";"A1";"A128";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"F";"F1";"F111";"FACILITIES";"0";"NR";"A";2025;2
"11132";"COM";"D";"D3";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A2";"A205";"FACILITIES";"0";"NR";"A";2025;11
"11262";"COM";"D";"D7";"_T";"FACILITIES";"0";"NR";"A";2025;18
"11262";"COM";"B";"B3";"B309";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"D";"D2";"_T";"FACILITIES";"0";"NR";"A";2025;612
"11262";"COM";"D";"D1";"D109";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"F";"F1";"F111";"FACILITIES";"0";"NR";"A";2025;14
"11262";"COM";"G";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;53
"11132";"COM";"D";"D2";"D281";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"F";"F1";"F125";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"B";"B2";"B207";"FACILITIES";"0";"NR";"A";2025;45
"11262";"COM";"D";"D2";"D270";"FACILITIES";"0";"NR";"A";2025;14
"11262";"COM";"D";"D1";"D108";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"B";"B3";"B315";"FACILITIES";"0";"NR";"A";2025;16
"11262";"COM";"A";"A5";"A503";"FACILITIES";"0";"NR";"A";2025;15
"11132";"COM";"A";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;39
"11262";"COM";"A";"A1";"A130";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F2";"F203";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"A";"A5";"A506";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"F";"F1";"F114";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"B";"B3";"B322";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"F";"F3";"F313";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D5";"D503";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"B";"B1";"B103";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"G";"G1";"G103";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"B";"B2";"B209";"FACILITIES";"0";"NR";"A";2025;10
"11262";"COM";"D";"D1";"D114";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"A";"A3";"A302";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"_T";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;3127
"11132";"COM";"F";"F1";"_T";"FACILITIES";"0";"NR";"A";2025;9
"11132";"COM";"A";"A1";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"F";"F1";"F102";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"A";"A1";"_T";"FACILITIES";"0";"NR";"A";2025;18
"11262";"COM";"F";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;111
"11262";"COM";"A";"A1";"A124";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D7";"D710";"FACILITIES";"0";"NR";"A";2025;7
"11132";"COM";"A";"A2";"A206";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"F";"F1";"F124";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"B";"B3";"B307";"FACILITIES";"0";"NR";"A";2025;20
"11262";"COM";"D";"D2";"D269";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"D";"D2";"D276";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"D";"D2";"D273";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"D";"D1";"_T";"FACILITIES";"0";"NR";"A";2025;31
"11262";"COM";"A";"A1";"A139";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D2";"D272";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"F";"F1";"F107";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"A";"A3";"A303";"FACILITIES";"0";"NR";"A";2025;16
"11262";"COM";"A";"A1";"A104";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"B";"B3";"B318";"FACILITIES";"0";"NR";"A";2025;4
"11132";"COM";"D";"D2";"D265";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"D";"D4";"D402";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C3";"C305";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D2";"D254";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"D";"D7";"D702";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"C";"C1";"C107";"FACILITIES";"0";"NR";"A";2025;15
"11262";"COM";"E";"E1";"E107";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C2";"_T";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"F";"F3";"F305";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"C";"C2";"C201";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"A";"A1";"A140";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D7";"D711";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"D";"D2";"D252";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D2";"D277";"FACILITIES";"0";"NR";"A";2025;57
"11262";"COM";"D";"D1";"D103";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"B";"B3";"B319";"FACILITIES";"0";"NR";"A";2025;6
"11262";"COM";"D";"D2";"D250";"FACILITIES";"0";"NR";"A";2025;42
"11262";"COM";"A";"A1";"A109";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D2";"D268";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A4";"A405";"FACILITIES";"0";"NR";"A";2025;105
"11132";"COM";"D";"D2";"D247";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F123";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F106";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"F";"F1";"F124";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F113";"FACILITIES";"0";"NR";"A";2025;7
"11262";"COM";"D";"D2";"D280";"FACILITIES";"0";"NR";"A";2025;20
"11262";"COM";"A";"A2";"_T";"FACILITIES";"0";"NR";"A";2025;37
"11132";"COM";"C";"C1";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"F";"F1";"F103";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"D";"D5";"D505";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"C";"C6";"C610";"FACILITIES";"0";"NR";"A";2025;13
"11262";"COM";"C";"C1";"_T";"FACILITIES";"0";"NR";"A";2025;35
"11132";"COM";"A";"A1";"A129";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A2";"A206";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"B";"B3";"B323";"FACILITIES";"0";"NR";"A";2025;25
"11262";"COM";"B";"B3";"B312";"FACILITIES";"0";"NR";"A";2025;16
"11262";"COM";"F";"F1";"F129";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"G";"G1";"G102";"FACILITIES";"0";"NR";"A";2025;25
"11262";"COM";"D";"D2";"D245";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"F";"F1";"F127";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D2";"D261";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F1";"F119";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D3";"D307";"FACILITIES";"0";"NR";"A";2025;20
"11262";"COM";"C";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;76
"11132";"COM";"G";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"D";"D5";"_T";"FACILITIES";"0";"NR";"A";2025;3
"11132";"COM";"A";"A4";"A405";"FACILITIES";"0";"NR";"A";2025;6
