nom_comm;nom_dept;insee_com;classe_potentiel;reg
MONTOULIERS;HERAULT;34170;1;FR
VILLENAVE;LANDES;40330;1;FR
NARBONNE;AUDE;11262;2;FR
FABREZAN;AUDE;11132;1;FR
