id_gaspar;code_commune;libelle_commune;num_risque_jo;lib_risque_jo;date_debut;date_fin;date_signature_arrete;date_publication_jo;date_modification
IOME2308745A;11262;Narbonne;SEC;Sécheresse;2022-07-01 12:00:00;2022-12-31 12:00:00;2023-04-03 12:00:00;2023-05-03 12:00:00;2023-05-04 10:59:33.359
INTE0600098A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;2005-11-13 01:00:00;2005-11-14 01:00:00;2006-02-16 01:00:00;2006-02-28 01:00:00;2022-05-24 02:00:00.000
INTE1828277A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;2018-10-14 02:00:00;2018-10-15 02:00:00;2018-10-17 02:00:00;2018-10-18 02:00:00;2022-05-24 02:00:00.000
INTE0600494A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2006-01-29 01:00:00;2006-01-31 01:00:00;2006-06-16 02:00:00;2006-07-14 02:00:00;2022-05-24 02:00:00.000
INTE9600559A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;1996-12-06 01:00:00;1996-12-12 01:00:00;1997-01-21 01:00:00;1997-02-05 01:00:00;2022-05-20 02:00:00.000
INTE1727359A;11132;Fabrezan;SEC;Sécheresse;2016-07-01 02:00:00;2016-09-30 02:00:00;2017-10-24 02:00:00;2017-11-01 01:00:00;2022-05-24 02:00:00.000
IOME2218165A;11262;Narbonne;SEC;Sécheresse;2021-04-01 02:00:00;2021-09-30 02:00:00;2022-07-11 02:00:00;2022-07-26 02:00:00;2022-10-05 02:00:00.000
INTE9400127A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1993-10-27 01:00:00;1993-11-01 01:00:00;1994-03-08 01:00:00;1994-03-24 01:00:00;2022-05-20 02:00:00.000
NOR19821118;34170;Montouliers;TMP;Tempête;1982-11-06 12:00:00;1982-11-10 12:00:00;1982-11-18 12:00:00;1982-11-19 12:00:00;2022-05-20 15:41:10.679
NOR19821118;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1982-11-06 12:00:00;1982-11-10 12:00:00;1982-11-18 12:00:00;1982-11-19 12:00:00;2022-05-20 15:41:10.679
NOR19821118;11132;Fabrezan;TMP;Tempête;1982-11-06 12:00:00;1982-11-10 12:00:00;1982-11-18 12:00:00;1982-11-19 12:00:00;2022-05-20 15:41:10.679
INTE1311771A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2013-03-06 01:00:00;2013-03-07 01:00:00;2013-05-21 02:00:00;2013-05-25 02:00:00;2022-05-24 02:00:00.000
IOCE0902322A;11262;Narbonne;CMV;Chocs Mécaniques liés à l'action des Vagues;2009-01-24 12:00:00;2009-01-27 12:00:00;2009-01-28 12:00:00;2009-01-29 12:00:00;2022-05-24 11:39:20.861
INTE9600255A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1996-01-28 01:00:00;1996-01-29 01:00:00;1996-06-17 02:00:00;1996-07-09 02:00:00;2022-05-20 02:00:00.000
INTE0500698A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2005-09-06 02:00:00;2005-09-06 02:00:00;2005-10-10 02:00:00;2005-10-14 02:00:00;2022-05-24 02:00:00.000
IOME2415881A;11132;Fabrezan;SEC;Sécheresse;2023-01-01 01:00:00;2023-12-31 01:00:00;2024-06-18 02:00:00;2024-07-02 02:00:00;2024-07-04 02:00:00.000
IOCE0902322A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;2009-01-24 12:00:00;2009-01-27 12:00:00;2009-01-28 12:00:00;2009-01-29 12:00:00;2022-05-24 11:39:20.861
INTE1828277A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2018-10-14 02:00:00;2018-10-15 02:00:00;2018-10-17 02:00:00;2018-10-18 02:00:00;2022-05-24 02:00:00.000
INTE1818803A;11132;Fabrezan;SEC;Sécheresse;2017-07-01 02:00:00;2017-09-30 02:00:00;2018-07-10 02:00:00;2018-07-27 02:00:00;2022-05-24 02:00:00.000
INTE9600559A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1996-12-06 01:00:00;1996-12-12 01:00:00;1997-01-21 01:00:00;1997-02-05 01:00:00;2022-05-20 02:00:00.000
