"source","date_maj","niveau","code","lib","com_code","com_lib","com_region","pop","tvs_region","tvs_dpt","tvs_code","tvs_lib","bvcv_region","bvcv_dpt","bvcv_code","bvcv_lib","bvcv_type","zmed_niveau","zmed_date_arrete","zide_niveau","zide_date_arrete","zmk_niveau","zmk_date_arrete","zsf_niveau","zsf_date_arrete","zdent_niveau","zdent_date_arrete","zortho_niveau","zortho_date_arrete"
"DataSanté (doc en ligne sur data.gouv.fr)","30/07/2026","COM","11132","Fabrezan","11132","Fabrezan","Occitanie","1 306","Occitanie","11","11203","Lézignan-Corbières","Occitanie","11","11203","Lézignan-Corbières","Bassin de vie","2_ZAC","30/10/2025","5_Sur_dotee","12/11/2025","3_intermediaire","29/10/2024","3_intermediaire","29/10/2024","1_Tres_sous_dotee","22/10/2024","3_intermediaire","19/02/2024"
"DataSanté (doc en ligne sur data.gouv.fr)","30/07/2026","COM","11262","Narbonne","11262","Narbonne","Occitanie","57 587","Occitanie","11","11262","Narbonne","Occitanie","11","1199","Narbonne","Canton-ville","4_ZAR","30/10/2025","5_Sur_dotee","12/11/2025","5b_Non_prioritaire","29/10/2024","5_Sur_dotee","29/10/2024","3_intermediaire","22/10/2024","4_Tres_dotee","19/02/2024"
"DataSanté (doc en ligne sur data.gouv.fr)","30/07/2026","COM","34172","Montpellier","34172","Montpellier","Occitanie","310 240","Occitanie","34","34172","Montpellier","Occitanie","34","3499","Montpellier","Canton-ville","4_ZAR","30/10/2025","5_Sur_dotee","12/11/2025","5b_Non_prioritaire","29/10/2024","4_Tres_dotee","29/10/2024","4_Tres_dotee","22/10/2024","5_Sur_dotee","19/02/2024"
"DataSanté (doc en ligne sur data.gouv.fr)","30/07/2026","COM","97617","Tsingoni","97617","Tsingoni","Mayotte","13 934","Mayotte","976","97617","Tsingoni","Mayotte","976","NC","Non concerné","NC","1_ZIP","05/06/2023","1_Tres_sous_dotee","31/03/2022","1_Tres_sous_dotee","31/03/2022","1_Tres_sous_dotee","31/03/2022","1_Tres_sous_dotee","01/10/2012","1_Tres_sous_dotee","05/06/2023"
